                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2865,                  1.443,                 1.5332,                0.22968,                0.10811,                0.04349,                0.01001,                 3.1608,                 3.2383,                  3.233,               0.006733,               0.006733,               0.006733
                     35,                  1.344,                 1.4768,                 1.5373,                0.06325,                0.08108,                0.03475,                0.00772,                 3.0095,                 3.1604,                 3.0713,               0.006634,               0.006634,               0.006634
                     36,                 1.2202,                   1.38,                  1.494,                0.19181,                0.10811,                0.08872,                0.02531,                 3.0728,                 3.1342,                  3.071,               0.006535,               0.006535,               0.006535
                     37,                  1.139,                  1.301,                 1.4104,                0.86593,                0.05405,                0.08302,                0.03512,                 3.0218,                 3.0341,                 3.1072,               0.006436,               0.006436,               0.006436
                     38,                 1.1773,                 1.3356,                 1.4536,                0.07124,                0.10811,                0.05965,                0.01858,                  3.042,                  3.173,                 3.1048,               0.006337,               0.006337,               0.006337
                     39,                 1.2281,                 1.3314,                 1.4539,                  0.726,                0.08108,                0.11273,                0.02407,                  2.933,                 3.2335,                 3.0562,               0.006238,               0.006238,               0.006238
                     40,                 1.2029,                 1.3022,                 1.4278,                0.23781,                0.13514,                0.10286,                0.02339,                 2.9951,                 2.9792,                 3.1202,               0.006139,               0.006139,               0.006139
                     41,                 1.1309,                 1.2096,                 1.3826,                0.41244,                0.08108,                 0.0939,                0.02502,                 2.8643,                 3.3127,                  3.001,                0.00604,                0.00604,                0.00604
                     42,                 1.2147,                 1.2922,                 1.4392,                0.27392,                0.08108,                0.07989,                0.03135,                 2.7746,                 3.3019,                 2.9524,               0.005941,               0.005941,               0.005941
                     43,                 1.1155,                 1.1576,                 1.4001,                0.40132,                0.08108,                0.06085,                0.02786,                 2.7467,                 3.3806,                 3.0461,               0.005842,               0.005842,               0.005842
                     44,                 1.1087,                 1.1211,                 1.3875,                0.25129,                0.10811,                0.06704,                0.02409,                 2.8667,                 3.3197,                 3.0922,               0.005743,               0.005743,               0.005743
                     45,                 1.0605,                 1.1414,                 1.3576,                0.54403,                0.10811,                0.12458,                0.02306,                 3.1084,                 3.2204,                 3.3281,               0.005644,               0.005644,               0.005644
                     46,                 1.1072,                 1.1808,                 1.3825,                0.38623,                0.05405,                0.05683,                0.02742,                 2.8841,                 3.2706,                  3.144,               0.005545,               0.005545,               0.005545
                     47,                 1.1016,                 1.1228,                 1.3568,                 0.7118,                0.13514,                0.14545,                0.02955,                 3.0791,                 2.9689,                 3.4075,               0.005446,               0.005446,               0.005446
                     48,                 1.0908,                 1.1143,                 1.3743,                0.81027,                0.05405,                0.06843,                0.01152,                 3.0071,                 3.3749,                 3.2141,               0.005347,               0.005347,               0.005347
                     49,                 1.0391,                 1.0481,                 1.3077,                0.19502,                0.10811,                0.04137,                0.01224,                 2.9914,                 3.2632,                 3.2083,               0.005248,               0.005248,               0.005248
                     50,                 1.1001,                 1.0744,                 1.3324,                0.15152,                0.10811,                 0.0577,                0.01833,                 2.9814,                 3.3011,                 3.1157,               0.005149,               0.005149,               0.005149
                     51,                 1.1146,                 1.1467,                 1.3899,                0.35181,                0.08108,                0.06338,                 0.0185,                 3.0024,                 3.3133,                 3.0554,                0.00505,                0.00505,                0.00505
                     52,                 1.0115,                 1.0232,                 1.2774,                 0.0772,                0.10811,                0.03456,                0.00897,                 2.9618,                 3.4118,                 3.1127,               0.004951,               0.004951,               0.004951
                     53,                 1.0851,                 1.0392,                 1.3326,                0.06865,                0.13514,                0.03678,                0.01341,                 3.1704,                 3.2476,                 3.2199,               0.004852,               0.004852,               0.004852
                     54,                 1.0292,                0.99439,                 1.3004,                0.12925,                0.13514,                 0.0447,                 0.0147,                 3.0356,                 3.2329,                 3.1948,               0.004753,               0.004753,               0.004753
                     55,                 1.0658,                 1.0637,                 1.3504,                0.15078,                0.16216,                0.05789,                0.01366,                 2.9486,                 3.2581,                 3.0726,               0.004654,               0.004654,               0.004654
                     56,                 1.0371,                 1.0489,                 1.3515,                0.08733,                0.08108,                 0.0287,                0.00842,                 3.1057,                 3.4261,                 3.1529,               0.004555,               0.004555,               0.004555
                     57,                 1.0395,                 1.0182,                 1.2953,                0.12586,                0.10811,                0.03314,                0.01035,                 3.1809,                 3.3686,                 3.2012,               0.004456,               0.004456,               0.004456
                     58,                 1.0917,                 1.0567,                 1.3616,                0.19808,                0.10811,                0.04819,                0.01308,                 3.0464,                 3.3078,                 3.0828,               0.004357,               0.004357,               0.004357
                     59,                0.97422,                0.93222,                 1.2618,                0.20979,                0.10811,                0.07954,                0.03697,                 2.9162,                 3.2485,                 3.0448,               0.004258,               0.004258,               0.004258
                     60,                0.97549,                 0.9237,                 1.2675,                0.42442,                0.10811,                0.08623,                0.03735,                 3.0561,                 3.2868,                 3.1447,               0.004159,               0.004159,               0.004159
                     61,                0.94707,                0.89857,                  1.232,                0.11913,                0.13514,                0.06875,                0.03112,                 2.9717,                 3.3135,                 3.1157,                0.00406,                0.00406,                0.00406
                     62,                0.94632,                 0.8999,                 1.2665,                0.09925,                0.10811,                0.06442,                0.02601,                 2.9339,                 3.3346,                 3.0496,               0.003961,               0.003961,               0.003961
                     63,                0.99401,                0.92362,                 1.2791,                0.09821,                0.13514,                0.04024,                0.01198,                 2.9492,                 3.3668,                 3.1105,               0.003862,               0.003862,               0.003862
                     64,                0.99325,                0.90945,                 1.2693,                0.06667,                0.10621,                0.02569,                0.00526,                  3.005,                 3.4208,                 3.0929,               0.003763,               0.003763,               0.003763
                     65,                0.95536,                0.85952,                 1.2301,                 0.0707,                0.10811,                0.03141,                0.00815,                 2.9744,                 3.3927,                 3.0437,               0.003664,               0.003664,               0.003664
                     66,                0.96593,                0.87856,                 1.2481,                0.11046,                0.10811,                0.03374,                0.01408,                 2.9602,                 3.3188,                 3.0508,               0.003565,               0.003565,               0.003565
                     67,                0.96458,                0.92882,                 1.2465,                0.17608,                0.16216,                0.07943,                0.03608,                 2.9069,                  3.271,                 3.1075,               0.003466,               0.003466,               0.003466
                     68,                0.95506,                0.86504,                 1.2606,                0.23501,                0.18919,                0.09972,                0.01816,                 2.8546,                 3.1445,                 3.0586,               0.003367,               0.003367,               0.003367
                     69,                0.92752,                0.87389,                 1.2407,                0.23625,                0.16216,                 0.0645,                0.01487,                 2.8642,                 3.1776,                 3.0019,               0.003268,               0.003268,               0.003268
                     70,                0.91461,                0.81644,                  1.227,                0.18313,                0.13514,                 0.0539,                0.01368,                 2.9456,                 3.1968,                 2.9923,               0.003169,               0.003169,               0.003169
                     71,                0.97411,                0.86161,                 1.2723,                  0.206,                0.13514,                 0.0569,                 0.0153,                 2.9431,                 3.1909,                 3.0014,                0.00307,                0.00307,                0.00307
                     72,                0.91339,                0.86548,                 1.2247,                0.26899,                0.13514,                0.06045,                0.01307,                 2.9437,                 3.3361,                  2.995,               0.002971,               0.002971,               0.002971
                     73,                0.87621,                0.80778,                 1.1743,                 0.2475,                0.16216,                0.07593,                0.01731,                 2.9901,                 3.1161,                 3.1242,               0.002872,               0.002872,               0.002872
                     74,                0.92221,                0.82881,                 1.2176,                0.13234,                0.10811,                0.04524,                0.01262,                  3.006,                 3.1745,                 3.1658,               0.002773,               0.002773,               0.002773
                     75,                0.92854,                0.81859,                 1.2089,                0.11194,                0.13514,                0.04787,                0.01359,                 2.9083,                 3.2342,                 3.1149,               0.002674,               0.002674,               0.002674
                     76,                0.86726,                0.83648,                  1.228,                0.17578,                0.13514,                0.06731,                0.02601,                  2.822,                 3.2109,                 3.0811,               0.002575,               0.002575,               0.002575
                     77,                0.88662,                0.79006,                 1.2109,                0.15993,                0.10811,                0.07404,                0.03332,                 2.7791,                 3.2792,                 3.0292,               0.002476,               0.002476,               0.002476
                     78,                0.85712,                0.79352,                 1.1783,                0.14648,                0.10811,                0.06084,                0.01927,                 2.8561,                 3.3148,                 3.0476,               0.002377,               0.002377,               0.002377
                     79,                0.85206,                0.76095,                 1.1834,                0.19905,                0.10811,                0.07041,                 0.0234,                 2.8902,                 3.2869,                 3.0872,               0.002278,               0.002278,               0.002278
